DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
SRR1481707,SAMN02769660,MOD1_LS24,USA,1986,1/2b,4088,3,"fosX, lin",,Brie
SRR1269923,SAMN02741518,FSL R8-6134,USA,2010,,4089,9,"abc-f, fosX, lin",,Retail deli
SRR5616378,SAMN07172064,PNUSAL002993,USA,,,4090,4,"fosX, lin",,
SRR7172537,SAMN09214643,406739,United Kingdom,2015,1/2a,4091,378,"abc-f, fosX, lin",Homo sapiens,Human
SRR1265020,SAMN02729965,CFSAN012361,USA,2014,,4092,9,"abc-f, fosX, lin",,Sliced cooked ham
SRR6956612,SAMN08134156,CFSAN072450,USA,2001,,4093,3,"fosX, lin",,Portuguese sausage egg wrap
ERR1102333,SAMEA3639532,DMG1500213,Australia,2013,,4094,155,"fosX, lin",natural / free-living,Human
ERR1102472,SAMEA3639671,DMG1500352,Australia,2013,,4094,155,"fosX, lin",natural / free-living,Food
SRR1411155,SAMN02850659,CFSAN018268,USA,2014,,4095,1,"fosX, lin",,Beef blend dog food
ERR1738707,SAMEA4475807,06CEB443LM,France,2006,IIb,4096,59,"fosX, lin",,Food
SRR7130558,SAMN09004965,PHLUSALM00001,USA,2018,,4097,6,"fosX, lin",,Organic Broccoli Microgreens
SRR7109590,SAMN09061456,PHLUSALM00001,USA,2018,,4097,6,"fosX, lin",,
SRR3082363,SAMN04301670,OSF042785,USA,2015,,4098,6,"fosX, lin",,Environmental
ERR2521726,SAMEA4586483,,Ireland,2015,,4099,6,"fosX, lin",Homo sapiens,
SRR3383227,SAMN04604788,,Ireland,,,4099,6,"fosX, lin",Homo sapiens,Human
SRR5452345,SAMN06629394,FDA961739-S057-001,USA,2017,,4100,321,"fosX, lin",,Environmental swabs
SRR4875384,SAMN05900842,FLAG-35232,USA,2003,,4101,321,"fosX, lin",,Italian sandwich
SRR4875382,SAMN05900841,FLAG-35236,USA,2003,,4101,321,"fosX, lin",,Bologna
SRR7591111,SAMN09665784,FDA476983-S088,USA,2009,,4102,5,"fosX, lin",,Environmental
SRR1575086,SAMN03067795,PNUSAL000986,USA,2014,,4103,379,"fosX, lin",,Blood
SRR2636968,SAMN03736738,FLAG-26557,USA,2012,,4104,5,"fosX, lin",,Smoked Sockeye salmon
